rank,name,scaled,timelines,template,governance,accOnboard,accUtil,rationale
1,Neopolis_2,100,3,3,3,3,N/A,Project is on track; historical files uploaded on ACC
2,Kodathi,87,1,3,3,3,3,Timeline delay of ~11 weeks
3,Vanagaram2,73,2,3,3,2,1,Arch CD (review initiated but responses from reviewers pending); MOSF brief (RFI initiated but responses from reviewers pending)
4,ChiranFort,73,1,3,1,3,3,Timeline delay of ~14 weeks. Design brif signoff pending as project is on hold
5,ArcotRoad,67,3,3,1,2,1,50% concept governance forum missed. 50% CD workflow missed. Historical files not uploaded to ACC.
6,Banashankari,67,3,N/A,N/A,2,1,Timeline gain of ~2 weeks. Historical files not uploaded to ACC. MOSF Landscape workflow missed on ACC. 
7,Kompally,67,1,N/A,3,3,1,Timeline delay of ~19 weeks. 2 ACC workflows missed on Concept Design.
